"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2.2,0,0,0,1,1.9,0,0,0,NA,0.9,0,NA,1.4,2,NA,0.6,0.3,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1.8,0,0,0,1.2,0,0,0,0,0,0,2.6,0,3.3,0,0,NA,0.9,0,NA,3,0,NA,4.5,7.4,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5,0,0,0,0,0.9,0,0,2.2,0,0,0,1.5,1.9,0,5.5,0,NA,0,0,NA,0,0,NA,1.3,7.4,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.1,0,0,3,1.9,0,0,0,NA,0,1.6,NA,0.7,2.8,NA,0,7.4,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,0,0,1.4,0,2.3,0,0,0,0,1.8,0,0,0,2,1,1.9,0,3.3,3.9,NA,0,1.6,NA,2.4,6.2,NA,3.2,1.7,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.4,2.8,0,2.2,0,0,0,8.7,1.9,0,1.2,0,NA,0,1.6,NA,2.8,0,NA,0.3,1.9,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0,NA,2.8,1.1,NA,0,2.6,NA,2.7,6.9,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1.3,NA,0,0,NA,0,2.3,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.5,NA,1.1,6.7,NA,0.6,1.3,NA,3.8,3,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.5,NA,0,1.3,NA,1.8,1.8,NA,2.5,2.5,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.5,NA,3.9,1.3,NA,0,3.4,NA,4.9,6.4,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4,NA,4.6,1,NA,1.8,3.9,NA,0.3,1.3,NA
